,length,min_row,min_col,max_row,max_col
1,11.0,1710,3584,1721,3585
2,32.0,1722,5888,1754,5889
3,15.0,1724,3584,1739,3585
4,53.0,1729,6912,1781,6915
5,6.0,1733,6144,1739,6145
6,33.0,1734,2048,1766,2051
7,11.0,1737,4352,1748,4353
8,12.0,1738,2560,1749,2563
9,6.0,1744,4096,1749,4099
10,7.0,1744,4864,1751,4865
11,7.0,1751,6656,1758,6657
12,21.0,1756,5376,1777,5377
13,34.0,1756,5888,1790,5890
14,6.0,1760,6656,1766,6657
15,12.0,1766,6400,1778,6401
16,12.0,1767,4608,1779,4609
17,12.0,1768,2048,1780,2049
18,6.0,1768,3584,1774,3585
19,7.0,1774,6144,1781,6145
20,8.0,1778,3584,1786,3585
21,11.0,1779,4352,1790,4353
22,10.0,1780,6522,1790,6528
23,6.0,1789,4530,1790,4536
24,6.0,1789,6965,1790,6971
25,8.0,1790,6290,1792,6298
26,6.0,1860,3072,1866,3073
27,8.0,1953,3584,1961,3585
28,6.0,2049,2540,2050,2546
29,16.0,2049,5691,2051,5707
30,6.0,2183,5214,2185,5220
31,7.0,2191,5205,2193,5212
32,7.0,2234,6144,2241,6145
33,22.0,2274,3328,2296,3330
34,17.0,2279,6987,2289,6996
35,10.0,2293,6968,2296,6978
36,6.0,2362,6956,2365,6962
37,6.0,2541,6400,2547,6401
38,14.0,2561,3446,2562,3460
39,13.0,2647,6019,2654,6026
40,6.0,2787,6732,2790,6737
41,38.0,2798,5822,2816,5834
42,6.0,2813,6816,2816,6822
43,11.0,2816,2017,2817,2028
44,29.0,2817,5724,2832,5736
45,19.0,2817,6749,2819,6768
46,6.0,2826,5109,2828,5115
47,10.0,2848,5724,2856,5728
48,7.0,2976,5888,2983,5889
49,8.0,3046,6652,3054,6655
50,20.0,3070,6615,3072,6635
51,7.0,3071,6605,3072,6612
52,12.0,3079,4852,3085,4860
53,45.0,3112,6659,3141,6665
54,8.0,3218,3328,3226,3329
55,23.0,3237,6144,3260,6146
56,13.0,3329,5781,3330,5794
57,7.0,3412,6400,3419,6401
58,7.0,3420,6400,3427,6401
59,14.0,3480,6144,3494,6145
60,26.0,3497,6144,3523,6145
61,9.0,3508,6400,3517,6401
62,7.0,3530,3072,3537,3073
63,8.0,3718,3328,3726,3329
64,10.0,3741,6655,3751,6656
65,11.0,3840,5719,3842,5730
66,7.0,3897,5888,3904,5889
67,6.0,3912,6400,3918,6401
68,6.0,3913,5888,3919,5890
69,6.0,3972,5888,3978,5889
70,26.0,4004,2280,4019,2296
71,22.0,4050,3783,4072,3787
72,9.0,4080,3493,4085,3502
73,13.0,4081,4356,4087,4367
74,11.0,4108,5888,4119,5889
75,6.0,4121,5888,4127,5889
76,6.0,4194,6144,4200,6145
77,9.0,4260,6400,4269,6401
78,9.0,4273,6400,4282,6401
79,6.0,4283,3328,4289,3329
80,7.0,4284,6400,4291,6401
81,23.0,4307,6400,4330,6401
82,6.0,4310,3328,4316,3329
83,7.0,4317,5888,4324,5889
84,14.0,4412,6026,4419,6031
85,6.0,4422,3328,4428,3329
86,11.0,4430,6038,4437,6043
87,6.0,4444,3072,4450,3073
88,10.0,4536,5366,4546,5371
89,21.0,4568,5632,4589,5633
90,17.0,4586,3584,4603,3585
91,13.0,4590,5632,4603,5633
92,8.0,4600,4041,4602,4049
93,8.0,4606,3594,4608,3602
94,6.0,4712,2032,4716,2037
95,9.0,4749,3072,4758,3073
96,8.0,4762,3072,4770,3073
97,6.0,4809,3720,4811,3726
98,12.0,4828,6144,4840,6145
99,13.0,4841,2560,4854,2561
100,8.0,4842,6144,4850,6145
101,10.0,4845,4174,4850,4183
102,8.0,4847,5376,4855,5377
103,13.0,4851,3699,4858,3706
104,24.0,4856,2743,4864,2758
105,9.0,4864,1958,4865,1967
106,6.0,4936,3569,4939,3575
107,6.0,5091,6144,5097,6145
108,6.0,5105,2740,5107,2746
109,19.0,5109,4506,5117,4518
110,7.0,5110,4448,5112,4455
111,10.0,5127,5548,5131,5558
112,17.0,5274,6144,5291,6145
113,13.0,5294,6144,5307,6145
114,7.0,5886,2013,5888,2020
115,9.0,5905,3144,5907,3153
116,8.0,6018,3240,6021,3248
117,11.0,6048,2870,6055,2876
118,7.0,6060,2872,6067,2874
119,10.0,6399,1973,6400,1983
120,12.0,6400,2007,6401,2019
121,8.0,6401,2880,6402,2888
122,13.0,6401,2894,6402,2907
123,13.0,6530,3584,6543,3585
124,6.0,6749,5888,6755,5889
125,8.0,6850,3072,6858,3073
126,11.0,6876,3072,6887,3073
127,7.0,6910,2640,6912,2647
128,28.0,7007,4608,7035,4609
129,6.0,7057,6144,7063,6145
130,9.0,7138,5368,7146,5373
131,8.0,7149,5360,7156,5364
132,10.0,7149,6144,7159,6145
133,9.0,7167,2001,7169,2010
134,7.0,7300,4869,7307,4873
135,7.0,7309,4864,7316,4865
136,9.0,7311,6144,7320,6145
137,8.0,7335,4007,7336,4015
138,14.0,7406,5341,7413,5346
139,21.0,7409,3086,7423,3092
140,7.0,7423,2004,7424,2011
141,7.0,7423,5336,7424,5343
142,15.0,7425,5325,7426,5340
143,11.0,7425,5358,7427,5369
144,7.0,7539,3072,7546,3073
145,6.0,7544,3240,7546,3246
146,7.0,7556,3993,7562,3999
147,17.0,7563,5632,7580,5633
148,14.0,7577,3970,7582,3984
149,11.0,7582,5632,7593,5633
150,6.0,7586,4352,7592,4353
151,6.0,7669,2733,7673,2739
152,6.0,7678,6482,7680,6488
153,8.0,7679,2007,7680,2015
154,6.0,7728,4015,7730,4021
155,17.0,7771,4273,7775,4289
156,6.0,7793,3687,7795,3693
157,6.0,7823,2748,7825,2754
158,11.0,7923,6153,7926,6164
159,7.0,8115,3072,8122,3073
160,10.0,8191,2008,8192,2018
161,81.0,8372,3588,8425,3617
162,9.0,8388,3569,8393,3578
163,8.0,8401,4975,8407,4980
164,6.0,8425,2023,8427,2029
165,28.0,8449,2732,8452,2760
166,13.0,8449,2991,8451,3004
167,15.0,8449,7083,8451,7098
168,23.0,8450,2770,8457,2785
169,6.0,8451,2728,8452,2734
170,7.0,8493,4352,8500,4353
171,14.0,8494,4366,8497,4380
172,14.0,8600,4616,8607,4622
173,13.0,8652,4352,8665,4353
174,10.0,8834,4352,8844,4353
175,12.0,8850,6144,8862,6146
176,6.0,8872,4044,8874,4050
177,6.0,8959,3689,8960,3695
178,14.0,8961,4951,8964,4965
179,15.0,9045,4864,9060,4865
180,8.0,9070,4864,9078,4866
181,8.0,9115,5632,9123,5633
182,8.0,9132,4352,9140,4353
183,13.0,9156,6144,9169,6145
184,14.0,9171,3003,9178,3011
185,14.0,9217,4078,9219,4092
186,6.0,9235,4056,9237,4062
187,31.0,9287,4864,9304,4872
188,10.0,9320,4267,9323,4277
189,25.0,9384,3328,9407,3332
190,6.0,9470,3682,9471,3688
191,15.0,9646,6611,9660,6624
192,24.0,9652,6611,9670,6635
193,34.0,9664,5888,9683,5909
194,6.0,9669,4352,9675,4353
195,10.0,9678,4352,9686,4361
196,21.0,9699,5738,9717,5753
197,8.0,9725,1985,9728,1993
198,6.0,9812,6999,9814,7005
199,8.0,9816,4352,9824,4353
200,7.0,9820,6839,9822,6846
201,6.0,9826,4352,9832,4353
202,15.0,9830,4362,9838,4373
203,6.0,9865,3676,9867,3682
204,8.0,9995,4907,10000,4913
205,14.0,10020,4921,10030,4928
206,6.0,10039,4890,10041,4896
207,10.0,10056,4864,10066,4865
208,29.0,10112,3176,10121,3199
209,18.0,10116,2304,10127,2315
210,8.0,10121,5208,10128,5212
211,39.0,10122,4104,10161,4115
212,17.0,10124,4642,10140,4654
213,36.0,10128,2884,10150,2905
214,51.0,10129,2429,10141,2456
215,19.0,10150,2045,10169,2048
216,17.0,10240,2816,10256,2819
217,17.0,10240,3584,10256,3587
218,40.0,10240,5120,10278,5124
219,8.0,10240,6745,10241,6753
220,12.0,10241,3326,10252,3329
221,7.0,10242,4608,10249,4609
222,11.0,10243,6400,10254,6401
223,12.0,10243,6912,10255,6913
224,7.0,10248,3840,10255,3841
225,8.0,10250,6144,10258,6145
226,9.0,10251,5376,10260,5377
227,12.0,10253,4352,10265,4353
228,6.0,10253,5888,10259,5889
229,8.0,10255,4608,10263,4609
230,69.0,10258,6400,10327,6402
231,17.0,10260,3840,10277,3841
232,20.0,10264,2814,10283,2817
233,7.0,10264,4608,10271,4609
234,15.0,10266,6912,10281,6913
235,24.0,10268,3326,10291,3329
236,9.0,10268,4352,10277,4353
237,11.0,10268,5888,10279,5889
238,6.0,10269,6144,10275,6145
239,13.0,10274,4608,10287,4609
240,12.0,10275,4096,10287,4097
241,11.0,10282,3584,10293,3585
242,15.0,10282,4352,10297,4353
243,8.0,10283,5120,10291,5121
244,7.0,10284,3072,10291,3073
245,22.0,10286,2815,10308,2817
246,22.0,10287,5888,10309,5889
247,6.0,10288,6144,10294,6145
248,7.0,10291,5376,10298,5377
249,6.0,10294,3840,10300,3841
250,9.0,10294,6912,10303,6913
251,12.0,10300,4608,10312,4609
252,8.0,10304,3328,10312,3329
253,8.0,10311,2816,10319,2817
254,6.0,10322,3328,10328,3329
