,length,min_row,min_col,max_row,max_col
1,45.0,1995,5543,2004,5574
2,14.0,2014,6139,2021,6153
3,14.0,2561,2580,2563,2594
4,19.0,2561,3944,2576,3957
5,14.0,2561,6371,2564,6383
6,15.0,2714,4390,2721,4400
7,32.0,2791,5822,2813,5829
8,12.0,2804,5211,2810,5219
9,22.0,2825,5094,2832,5116
10,19.0,2912,3584,2931,3585
11,13.0,2936,3584,2949,3585
12,12.0,2952,3584,2964,3585
13,17.0,2974,3584,2991,3585
14,33.0,3073,3647,3076,3680
15,12.0,3392,3943,3401,3950
16,18.0,3483,5255,3490,5268
17,12.0,3496,6144,3508,6145
18,23.0,3502,3328,3525,3329
19,58.0,3707,5827,3727,5868
20,36.0,3971,3381,4001,3408
21,23.0,3977,4103,3999,4119
22,25.0,3993,3648,4012,3672
23,17.0,4008,6868,4015,6881
24,13.0,4016,6868,4020,6881
25,39.0,4021,2031,4060,2047
26,18.0,4056,6434,4066,6445
27,19.0,4082,6418,4088,6434
28,23.0,4472,6400,4493,6404
29,13.0,4564,4746,4568,4758
30,13.0,4587,6400,4600,6401
31,12.0,4702,6144,4714,6145
32,15.0,4715,6144,4730,6145
33,14.0,4740,5688,4749,5696
34,16.0,4922,6400,4933,6405
35,18.0,6031,2307,6035,2325
36,13.0,6097,2102,6104,2115
37,11.0,6401,4065,6402,4076
38,27.0,6758,3584,6785,3585
39,16.0,6800,3584,6816,3585
40,13.0,7074,3584,7087,3585
41,13.0,7169,3331,7172,3344
42,13.0,7169,3472,7170,3485
43,13.0,7394,3584,7407,3585
44,12.0,7425,2771,7426,2783
45,11.0,7921,6152,7927,6162
46,30.0,7937,3676,7939,3706
47,14.0,7937,4522,7938,4536
48,12.0,8543,5496,8547,5507
49,14.0,8671,4608,8685,4609
50,19.0,8704,7078,8707,7097
51,14.0,8705,4971,8706,4985
52,21.0,8863,3584,8884,3586
53,15.0,8886,3584,8901,3585
54,18.0,9177,6144,9195,6145
55,19.0,9189,3328,9208,3329
56,14.0,9215,7066,9216,7080
57,25.0,9217,3969,9218,3994
58,25.0,9538,2535,9561,2541
59,12.0,9676,6156,9688,6162
60,13.0,9687,2584,9693,2592
61,15.0,9758,5526,9772,5531
62,13.0,9813,3328,9820,3336
63,11.0,9853,2619,9857,2629
64,14.0,9960,3584,9974,3585
65,13.0,10096,4978,10101,4989
66,25.0,10102,2201,10121,2209
67,11.0,10117,2925,10128,2928
68,14.0,10122,6400,10136,6401
69,23.0,10123,2002,10137,2017
70,13.0,10144,5632,10157,5633
71,13.0,10161,2583,10173,2594
72,15.0,10191,6032,10196,6044
