,length,min_row,min_col,max_row,max_col
1,32.0,1722,5888,1754,5889
2,53.0,1729,6912,1781,6915
3,33.0,1734,2048,1766,2051
4,21.0,1756,5376,1777,5377
5,34.0,1756,5888,1790,5890
6,16.0,2049,5691,2051,5707
7,22.0,2274,3328,2296,3330
8,17.0,2279,6987,2289,6996
9,38.0,2798,5822,2816,5834
10,29.0,2817,5724,2832,5736
11,19.0,2817,6749,2819,6768
12,20.0,3070,6615,3072,6635
13,45.0,3112,6659,3141,6665
14,23.0,3237,6144,3260,6146
15,26.0,3497,6144,3523,6145
16,26.0,4004,2280,4019,2296
17,22.0,4050,3783,4072,3787
18,23.0,4307,6400,4330,6401
19,21.0,4568,5632,4589,5633
20,17.0,4586,3584,4603,3585
21,24.0,4856,2743,4864,2758
22,19.0,5109,4506,5117,4518
23,17.0,5274,6144,5291,6145
24,28.0,7007,4608,7035,4609
25,21.0,7409,3086,7423,3092
26,17.0,7563,5632,7580,5633
27,17.0,7771,4273,7775,4289
28,81.0,8372,3588,8425,3617
29,28.0,8449,2732,8452,2760
30,23.0,8450,2770,8457,2785
31,31.0,9287,4864,9304,4872
32,25.0,9384,3328,9407,3332
33,24.0,9652,6611,9670,6635
34,34.0,9664,5888,9683,5909
35,21.0,9699,5738,9717,5753
36,29.0,10112,3176,10121,3199
37,18.0,10116,2304,10127,2315
38,39.0,10122,4104,10161,4115
39,17.0,10124,4642,10140,4654
40,36.0,10128,2884,10150,2905
41,51.0,10129,2429,10141,2456
42,19.0,10150,2045,10169,2048
43,17.0,10240,2816,10256,2819
44,17.0,10240,3584,10256,3587
45,40.0,10240,5120,10278,5124
46,69.0,10258,6400,10327,6402
47,17.0,10260,3840,10277,3841
48,20.0,10264,2814,10283,2817
49,24.0,10268,3326,10291,3329
50,22.0,10286,2815,10308,2817
51,22.0,10287,5888,10309,5889
