,length,min_row,min_col,max_row,max_col
1,9.0,1791,5084,1792,5093
2,30.0,1826,6183,1856,6188
3,15.0,1884,4713,1893,4722
4,28.0,1894,4509,1905,4537
5,25.0,1898,5900,1918,5922
6,49.0,1904,3966,1927,3992
7,41.0,1908,3705,1946,3717
8,15.0,2219,3587,2225,3599
9,17.0,2266,3281,2274,3292
10,19.0,2270,3297,2281,3308
11,20.0,2281,2408,2301,2412
12,50.0,3571,4157,3580,4192
13,32.0,3613,4611,3631,4628
14,42.0,3616,5529,3644,5561
15,46.0,3654,5968,3685,6010
16,11.0,3662,4108,3673,4115
17,33.0,3937,3374,3965,3382
18,25.0,3943,2607,3968,2618
19,13.0,3980,2052,3982,2065
20,9.0,5375,3972,5376,3981
21,21.0,5630,5132,5632,5153
22,17.0,7914,5833,7931,5838
23,48.0,7968,4068,8006,4087
24,9.0,8190,2677,8192,2686
25,11.0,9697,4611,9707,4622
26,23.0,10033,1185,10040,1196
27,30.0,10033,2400,10063,2413
28,11.0,10036,1022,10047,1023
29,18.0,10089,2713,10098,2731
