,length,min_row,min_col,max_row,max_col
1,11.0,1710,3584,1721,3585
2,32.0,1722,5888,1754,5889
3,15.0,1724,3584,1739,3585
4,53.0,1729,6912,1781,6915
5,33.0,1734,2048,1766,2051
6,11.0,1737,4352,1748,4353
7,12.0,1738,2560,1749,2563
8,21.0,1756,5376,1777,5377
9,34.0,1756,5888,1790,5890
10,12.0,1766,6400,1778,6401
11,12.0,1767,4608,1779,4609
12,12.0,1768,2048,1780,2049
13,11.0,1779,4352,1790,4353
14,10.0,1780,6522,1790,6528
15,16.0,2049,5691,2051,5707
16,22.0,2274,3328,2296,3330
17,17.0,2279,6987,2289,6996
18,10.0,2293,6968,2296,6978
19,14.0,2561,3446,2562,3460
20,13.0,2647,6019,2654,6026
21,38.0,2798,5822,2816,5834
22,11.0,2816,2017,2817,2028
23,29.0,2817,5724,2832,5736
24,19.0,2817,6749,2819,6768
25,10.0,2848,5724,2856,5728
26,20.0,3070,6615,3072,6635
27,12.0,3079,4852,3085,4860
28,45.0,3112,6659,3141,6665
29,23.0,3237,6144,3260,6146
30,13.0,3329,5781,3330,5794
31,14.0,3480,6144,3494,6145
32,26.0,3497,6144,3523,6145
33,9.0,3508,6400,3517,6401
34,10.0,3741,6655,3751,6656
35,11.0,3840,5719,3842,5730
36,26.0,4004,2280,4019,2296
37,22.0,4050,3783,4072,3787
38,9.0,4080,3493,4085,3502
39,13.0,4081,4356,4087,4367
40,11.0,4108,5888,4119,5889
41,9.0,4260,6400,4269,6401
42,9.0,4273,6400,4282,6401
43,23.0,4307,6400,4330,6401
44,14.0,4412,6026,4419,6031
45,11.0,4430,6038,4437,6043
46,10.0,4536,5366,4546,5371
47,21.0,4568,5632,4589,5633
48,17.0,4586,3584,4603,3585
49,13.0,4590,5632,4603,5633
50,9.0,4749,3072,4758,3073
51,12.0,4828,6144,4840,6145
52,13.0,4841,2560,4854,2561
53,10.0,4845,4174,4850,4183
54,13.0,4851,3699,4858,3706
55,24.0,4856,2743,4864,2758
56,9.0,4864,1958,4865,1967
57,19.0,5109,4506,5117,4518
58,10.0,5127,5548,5131,5558
59,17.0,5274,6144,5291,6145
60,13.0,5294,6144,5307,6145
61,9.0,5905,3144,5907,3153
62,11.0,6048,2870,6055,2876
63,10.0,6399,1973,6400,1983
64,12.0,6400,2007,6401,2019
65,13.0,6401,2894,6402,2907
66,13.0,6530,3584,6543,3585
67,11.0,6876,3072,6887,3073
68,28.0,7007,4608,7035,4609
69,9.0,7138,5368,7146,5373
70,10.0,7149,6144,7159,6145
71,9.0,7167,2001,7169,2010
72,9.0,7311,6144,7320,6145
73,14.0,7406,5341,7413,5346
74,21.0,7409,3086,7423,3092
75,15.0,7425,5325,7426,5340
76,11.0,7425,5358,7427,5369
77,17.0,7563,5632,7580,5633
78,14.0,7577,3970,7582,3984
79,11.0,7582,5632,7593,5633
80,17.0,7771,4273,7775,4289
81,11.0,7923,6153,7926,6164
82,10.0,8191,2008,8192,2018
83,81.0,8372,3588,8425,3617
84,9.0,8388,3569,8393,3578
85,28.0,8449,2732,8452,2760
86,13.0,8449,2991,8451,3004
87,15.0,8449,7083,8451,7098
88,23.0,8450,2770,8457,2785
89,14.0,8494,4366,8497,4380
90,14.0,8600,4616,8607,4622
91,13.0,8652,4352,8665,4353
92,10.0,8834,4352,8844,4353
93,12.0,8850,6144,8862,6146
94,14.0,8961,4951,8964,4965
95,15.0,9045,4864,9060,4865
96,13.0,9156,6144,9169,6145
97,14.0,9171,3003,9178,3011
98,14.0,9217,4078,9219,4092
99,31.0,9287,4864,9304,4872
100,10.0,9320,4267,9323,4277
101,25.0,9384,3328,9407,3332
102,15.0,9646,6611,9660,6624
103,24.0,9652,6611,9670,6635
104,34.0,9664,5888,9683,5909
105,10.0,9678,4352,9686,4361
106,21.0,9699,5738,9717,5753
107,15.0,9830,4362,9838,4373
108,14.0,10020,4921,10030,4928
109,10.0,10056,4864,10066,4865
110,29.0,10112,3176,10121,3199
111,18.0,10116,2304,10127,2315
112,39.0,10122,4104,10161,4115
113,17.0,10124,4642,10140,4654
114,36.0,10128,2884,10150,2905
115,51.0,10129,2429,10141,2456
116,19.0,10150,2045,10169,2048
117,17.0,10240,2816,10256,2819
118,17.0,10240,3584,10256,3587
119,40.0,10240,5120,10278,5124
120,12.0,10241,3326,10252,3329
121,11.0,10243,6400,10254,6401
122,12.0,10243,6912,10255,6913
123,9.0,10251,5376,10260,5377
124,12.0,10253,4352,10265,4353
125,69.0,10258,6400,10327,6402
126,17.0,10260,3840,10277,3841
127,20.0,10264,2814,10283,2817
128,15.0,10266,6912,10281,6913
129,24.0,10268,3326,10291,3329
130,9.0,10268,4352,10277,4353
131,11.0,10268,5888,10279,5889
132,13.0,10274,4608,10287,4609
133,12.0,10275,4096,10287,4097
134,11.0,10282,3584,10293,3585
135,15.0,10282,4352,10297,4353
136,22.0,10286,2815,10308,2817
137,22.0,10287,5888,10309,5889
138,9.0,10294,6912,10303,6913
139,12.0,10300,4608,10312,4609
