,length,min_row,min_col,max_row,max_col
1,56.0,1987,5470,2013,5495
2,26.0,2049,5448,2057,5470
3,33.0,2305,3785,2308,3816
4,22.0,2561,2729,2564,2751
5,22.0,3562,3456,3573,3468
6,45.0,3670,6106,3690,6144
7,54.0,3719,7128,3770,7160
8,17.0,4603,6033,4608,6045
9,28.0,5995,2761,5998,2789
10,20.0,6004,2670,6006,2690
11,18.0,6007,4012,6010,4030
12,20.0,6292,7068,6300,7075
13,20.0,7036,4608,7056,4609
14,28.0,7425,5332,7427,5360
15,38.0,8237,2757,8275,2768
16,58.0,8246,2156,8268,2202
17,26.0,8257,4098,8283,4104
18,30.0,8297,2529,8304,2554
19,31.0,8449,2725,8451,2756
20,18.0,8576,4608,8594,4609
21,22.0,8622,3328,8644,3329
22,82.0,9690,6492,9718,6538
23,25.0,9714,6132,9727,6143
24,45.0,10010,4131,10034,4159
25,21.0,10016,4147,10025,4168
26,48.0,10020,3552,10043,3579
27,70.0,10038,3147,10077,3168
28,20.0,10055,3710,10064,3723
29,24.0,10056,4034,10071,4046
30,47.0,10062,3033,10092,3062
31,22.0,10065,4062,10080,4083
32,21.0,10074,2596,10085,2610
