,length,min_row,min_col,max_row,max_col
1,32.0,1976,5188,1994,5203
2,57.0,1992,5376,2020,5386
3,22.0,2009,5809,2017,5824
4,16.0,2012,6686,2026,6702
5,15.0,2016,4609,2030,4614
6,21.0,2017,6677,2032,6698
7,26.0,2018,6455,2033,6468
8,66.0,2030,7143,2072,7175
9,35.0,2031,4925,2045,4948
10,30.0,2038,6221,2048,6238
11,14.0,2040,6024,2048,6031
12,14.0,2163,2025,2177,2031
13,19.0,2172,2021,2191,2031
14,12.0,2339,3822,2350,3826
15,38.0,2426,3874,2463,3893
16,13.0,2524,6144,2537,6145
17,28.0,2806,6832,2816,6852
18,18.0,2832,5087,2838,5105
19,13.0,2890,5723,2897,5729
20,14.0,2908,5888,2922,5889
21,12.0,2958,3328,2970,3329
22,12.0,2975,4608,2987,4609
23,16.0,2990,4608,3006,4609
24,23.0,3007,6646,3030,6652
25,17.0,3070,7010,3072,7027
26,42.0,3115,6659,3143,6666
27,23.0,3219,4608,3242,4609
28,15.0,3229,3328,3244,3329
29,16.0,3245,3328,3261,3330
30,15.0,3288,6144,3300,6149
31,15.0,3410,6144,3425,6145
32,16.0,3414,3584,3430,3585
33,14.0,3581,4065,3584,4079
34,43.0,3581,7173,3584,7214
35,23.0,3655,7172,3675,7195
36,15.0,3666,5372,3681,5376
37,17.0,3680,6925,3692,6934
38,17.0,4095,7186,4096,7203
39,12.0,4209,6288,4215,6297
40,72.0,4349,7171,4352,7232
41,13.0,4494,3328,4507,3329
42,14.0,4566,2884,4572,2891
43,12.0,4572,5447,4575,5459
44,25.0,4582,3880,4596,3891
45,63.0,4607,7170,4608,7233
46,16.0,4608,4478,4611,4494
47,13.0,4609,4505,4611,4518
48,14.0,4609,4887,4610,4901
49,40.0,4696,7180,4708,7207
50,12.0,4835,2463,4841,2471
51,16.0,4862,7078,4864,7094
52,16.0,4863,7170,4865,7186
53,14.0,4865,3960,4866,3974
54,27.0,5118,7173,5120,7200
55,15.0,5279,6400,5290,6404
56,12.0,5376,6884,5378,6896
57,16.0,5377,6829,5379,6845
58,83.0,5539,2561,5547,2644
59,43.0,5551,2698,5554,2741
60,17.0,5567,4356,5568,4373
61,15.0,5572,3500,5574,3515
62,16.0,5572,3516,5574,3532
63,21.0,5572,3654,5574,3675
64,81.0,6400,7211,6425,7266
65,14.0,6411,7269,6425,7270
66,27.0,6656,7184,6658,7211
67,14.0,6892,3042,6898,3047
68,32.0,6905,3433,6912,3457
69,83.0,6909,7172,6914,7250
70,12.0,6913,2063,6914,2075
71,123.0,7165,7169,7169,7257
72,12.0,7236,3459,7241,3467
73,12.0,7360,3005,7365,3012
74,18.0,7361,5193,7371,5205
75,66.0,7421,7213,7424,7264
76,17.0,7423,7170,7425,7187
77,24.0,7423,7188,7426,7212
78,14.0,7637,4979,7646,4986
79,24.0,7644,5212,7651,5234
80,129.0,7677,7170,7682,7266
81,99.0,7933,7169,7938,7246
82,15.0,7933,7213,7934,7228
83,15.0,8178,6731,8189,6738
84,76.0,8189,7170,8194,7243
85,40.0,8196,5911,8221,5925
86,18.0,8246,6657,8253,6671
87,82.0,8445,7170,8449,7243
88,23.0,8701,7203,8702,7226
89,100.0,8701,7170,8705,7262
90,12.0,8705,4057,8706,4069
91,16.0,8705,4995,8708,5011
92,13.0,8705,5012,8708,5025
93,14.0,8705,7045,8706,7059
94,13.0,8717,5025,8726,5032
95,12.0,8772,4608,8784,4609
96,20.0,8823,5218,8832,5229
97,124.0,8957,7170,8961,7249
98,29.0,9215,7183,9216,7212
99,14.0,9226,4608,9236,4614
100,12.0,9304,4608,9316,4609
101,15.0,9340,2964,9348,2975
102,18.0,9431,5908,9438,5917
103,110.0,9469,7169,9473,7250
104,14.0,9473,4420,9476,4432
105,12.0,9479,5039,9485,5045
106,12.0,9626,4352,9630,4362
107,82.0,9725,7170,9729,7245
108,15.0,9725,7201,9726,7216
109,14.0,9817,5646,9823,5659
110,57.0,9981,7169,9984,7220
111,22.0,10241,3731,10255,3747
112,15.0,10278,1989,10284,2004
113,28.0,10286,2333,10301,2347
114,17.0,10289,2156,10294,2173
