,length,min_row,min_col,max_row,max_col
1,27.0,2118,6055,2138,6064
2,29.0,2141,7172,2170,7182
3,17.0,2167,4954,2174,4969
4,28.0,2472,5632,2500,5633
5,24.0,2833,5081,2838,5105
6,22.0,2863,5888,2885,5889
7,18.0,2889,4608,2907,4609
8,18.0,2913,4608,2931,4609
9,16.0,2988,3328,3004,3330
10,17.0,3007,6646,3021,6650
11,17.0,3033,6144,3050,6145
12,26.0,3042,3328,3068,3329
13,32.0,3113,6660,3137,6666
14,17.0,3221,4864,3238,4865
15,32.0,3251,5632,3283,5633
16,32.0,3395,4608,3423,4614
17,32.0,3510,6144,3542,6145
18,18.0,3536,5888,3554,5889
19,20.0,3710,4352,3730,4353
20,33.0,3794,6891,3827,6896
21,18.0,3795,5416,3813,5424
22,16.0,3798,5424,3814,5431
23,21.0,3800,7168,3821,7171
24,24.0,3810,7175,3834,7182
25,21.0,3812,5120,3824,5129
26,32.0,3837,7168,3844,7197
27,36.0,3841,5723,3853,5746
28,19.0,3938,3072,3957,3073
29,18.0,4157,6144,4175,6145
30,32.0,4202,5888,4234,5889
31,17.0,4324,3072,4341,3073
32,18.0,4380,2224,4390,2234
33,32.0,4397,4205,4410,4223
